ts,open,high,low,close,volume,symbol,timeframe
2024-01-01T00:00:00Z,100.0,105.0,95.0,102.0,1000,TEST,1d
2024-01-02T00:00:00Z,102.0,108.0,97.0,105.0,1000,TEST,1d
2024-01-03T00:00:00Z,105.0,111.0,99.0,103.0,1000,TEST,1d
2024-01-04T00:00:00Z,103.0,109.0,96.0,106.0,1000,TEST,1d
2024-01-05T00:00:00Z,106.0,112.0,100.0,104.0,1000,TEST,1d
2024-01-06T00:00:00Z,104.0,110.0,98.0,107.0,1000,TEST,1d
2024-01-07T00:00:00Z,107.0,113.0,101.0,105.0,1000,TEST,1d
2024-01-08T00:00:00Z,105.0,111.0,99.0,108.0,1000,TEST,1d
2024-01-09T00:00:00Z,108.0,114.0,102.0,106.0,1000,TEST,1d
2024-01-10T00:00:00Z,106.0,112.0,100.0,109.0,1000,TEST,1d
2024-01-11T00:00:00Z,109.0,112.0,106.0,108.0,1000,TEST,1d
2024-01-12T00:00:00Z,108.0,111.0,106.0,109.0,1000,TEST,1d
2024-01-13T00:00:00Z,109.0,112.0,107.0,110.0,1000,TEST,1d
2024-01-14T00:00:00Z,110.0,113.0,108.0,111.0,1000,TEST,1d
2024-01-15T00:00:00Z,111.0,113.0,109.0,112.0,1000,TEST,1d
2024-01-16T00:00:00Z,112.0,114.0,110.0,113.0,1000,TEST,1d
2024-01-17T00:00:00Z,113.0,115.0,111.0,114.0,1000,TEST,1d
2024-01-18T00:00:00Z,114.0,116.0,112.0,115.0,1000,TEST,1d
2024-01-19T00:00:00Z,115.0,117.0,113.0,116.0,1000,TEST,1d
2024-01-20T00:00:00Z,116.0,118.0,114.0,117.0,1000,TEST,1d
2024-01-21T00:00:00Z,117.0,118.5,115.5,117.5,1000,TEST,1d
2024-01-22T00:00:00Z,117.5,118.5,116.5,118.0,1000,TEST,1d
2024-01-23T00:00:00Z,118.0,119.0,117.0,118.5,1000,TEST,1d
2024-01-24T00:00:00Z,118.5,119.0,117.5,118.5,1000,TEST,1d
2024-01-25T00:00:00Z,118.5,119.0,118.0,118.5,1000,TEST,1d
2024-01-26T00:00:00Z,118.5,119.0,118.0,118.5,1000,TEST,1d
2024-01-27T00:00:00Z,118.5,119.0,118.0,118.5,1000,TEST,1d
2024-01-28T00:00:00Z,118.5,119.0,118.0,118.5,1000,TEST,1d
2024-01-29T00:00:00Z,118.5,119.0,118.0,118.5,1000,TEST,1d
2024-01-30T00:00:00Z,118.5,119.0,118.0,118.5,1000,TEST,1d
2024-01-31T00:00:00Z,118.5,119.0,118.0,118.5,1000,TEST,1d
2024-02-01T00:00:00Z,118.5,119.0,118.0,118.5,1000,TEST,1d
2024-02-02T00:00:00Z,118.5,119.0,118.0,118.5,1000,TEST,1d
2024-02-03T00:00:00Z,118.5,119.0,118.0,118.5,1000,TEST,1d
2024-02-04T00:00:00Z,118.5,119.0,118.0,118.5,1000,TEST,1d
2024-02-05T00:00:00Z,118.5,119.0,118.0,118.5,1000,TEST,1d
2024-02-06T00:00:00Z,118.5,119.0,118.0,118.5,1000,TEST,1d
2024-02-07T00:00:00Z,118.5,119.0,118.0,118.5,1000,TEST,1d
2024-02-08T00:00:00Z,118.5,119.0,118.0,118.5,1000,TEST,1d
2024-02-09T00:00:00Z,118.5,119.0,118.0,118.5,1000,TEST,1d
2024-02-10T00:00:00Z,118.5,125.0,118.0,124.0,1000,TEST,1d
2024-02-11T00:00:00Z,124.0,130.0,123.0,129.0,1000,TEST,1d
2024-02-12T00:00:00Z,129.0,135.0,128.0,134.0,1000,TEST,1d
2024-02-13T00:00:00Z,134.0,140.0,133.0,139.0,1000,TEST,1d
2024-02-14T00:00:00Z,139.0,145.0,138.0,144.0,1000,TEST,1d
2024-02-15T00:00:00Z,144.0,148.0,140.0,142.0,1000,TEST,1d
2024-02-16T00:00:00Z,142.0,143.0,136.0,138.0,1000,TEST,1d
2024-02-17T00:00:00Z,138.0,139.0,132.0,134.0,1000,TEST,1d
2024-02-18T00:00:00Z,134.0,135.0,128.0,130.0,1000,TEST,1d
2024-02-19T00:00:00Z,130.0,131.0,124.0,126.0,1000,TEST,1d
