ts,open,high,low,close,volume,symbol,timeframe
2024-01-01T00:00:00Z,200.0,202.0,198.0,200.0,1000,TEST,1d
2024-01-02T00:00:00Z,200.0,201.0,199.0,199.0,1000,TEST,1d
2024-01-03T00:00:00Z,199.0,200.0,198.0,198.0,1000,TEST,1d
2024-01-04T00:00:00Z,198.0,199.0,197.0,197.0,1000,TEST,1d
2024-01-05T00:00:00Z,197.0,198.0,196.0,196.0,1000,TEST,1d
2024-01-06T00:00:00Z,196.0,197.0,195.0,195.0,1000,TEST,1d
2024-01-07T00:00:00Z,195.0,196.0,194.0,194.0,1000,TEST,1d
2024-01-08T00:00:00Z,194.0,195.0,190.0,190.0,1000,TEST,1d
2024-01-09T00:00:00Z,190.0,191.0,186.0,186.0,1000,TEST,1d
2024-01-10T00:00:00Z,186.0,187.0,182.0,182.0,1000,TEST,1d
2024-01-11T00:00:00Z,182.0,183.0,178.0,178.0,1000,TEST,1d
2024-01-12T00:00:00Z,178.0,179.0,174.0,174.0,1000,TEST,1d
2024-01-13T00:00:00Z,174.0,175.0,170.0,170.0,1000,TEST,1d
2024-01-14T00:00:00Z,170.0,176.0,169.0,175.0,1000,TEST,1d
2024-01-15T00:00:00Z,175.0,180.0,174.0,179.0,1000,TEST,1d
