ts,open,high,low,close,volume,symbol,timeframe
2024-01-01T00:00:00Z,100.0,102.0,99.0,101.0,1000,TEST,1d
2024-01-02T00:00:00Z,101.0,103.0,100.0,102.0,1000,TEST,1d
2024-01-03T00:00:00Z,102.0,104.0,101.0,103.0,1000,TEST,1d
2024-01-04T00:00:00Z,103.0,105.0,102.0,104.0,1000,TEST,1d
2024-01-05T00:00:00Z,104.0,106.0,103.0,105.0,1000,TEST,1d
2024-01-06T00:00:00Z,105.0,107.0,104.0,106.0,1000,TEST,1d
2024-01-07T00:00:00Z,106.0,108.0,105.0,107.0,1000,TEST,1d
2024-01-08T00:00:00Z,107.0,109.0,106.0,108.0,1000,TEST,1d
2024-01-09T00:00:00Z,108.0,110.0,107.0,109.0,1000,TEST,1d
2024-01-10T00:00:00Z,109.0,111.0,108.0,110.0,1000,TEST,1d
2024-01-11T00:00:00Z,110.0,115.0,107.0,113.0,1000,TEST,1d
2024-01-12T00:00:00Z,113.0,120.0,110.0,118.0,1000,TEST,1d
2024-01-13T00:00:00Z,118.0,125.0,114.0,122.0,1000,TEST,1d
2024-01-14T00:00:00Z,122.0,130.0,118.0,127.0,1000,TEST,1d
2024-01-15T00:00:00Z,127.0,135.0,123.0,132.0,1000,TEST,1d
2024-01-16T00:00:00Z,132.0,140.0,128.0,137.0,1000,TEST,1d
2024-01-17T00:00:00Z,137.0,145.0,133.0,142.0,1000,TEST,1d
2024-01-18T00:00:00Z,142.0,150.0,138.0,147.0,1000,TEST,1d
2024-01-19T00:00:00Z,147.0,155.0,143.0,152.0,1000,TEST,1d
2024-01-20T00:00:00Z,152.0,160.0,148.0,157.0,1000,TEST,1d
