ts,open,high,low,close,volume,symbol,timeframe
2024-01-01T00:00:00Z,100.0,102.0,98.0,101.0,1000.0,TEST,1d
2024-01-02T00:00:00Z,101.0,103.0,99.0,100.0,1000.0,TEST,1d
2024-01-03T00:00:00Z,100.0,101.5,99.0,100.5,1000.0,TEST,1d
2024-01-04T00:00:00Z,100.5,102.0,99.5,101.5,1000.0,TEST,1d
2024-01-05T00:00:00Z,101.5,103.0,100.5,102.0,1000.0,TEST,1d
2024-01-08T00:00:00Z,102.0,103.5,101.0,102.5,1000.0,TEST,1d
2024-01-09T00:00:00Z,102.5,104.0,101.5,103.0,1000.0,TEST,1d
2024-01-10T00:00:00Z,103.0,104.5,102.0,103.5,1000.0,TEST,1d
2024-01-11T00:00:00Z,103.5,105.0,102.5,104.0,1000.0,TEST,1d
2024-01-12T00:00:00Z,104.0,105.5,103.0,104.5,1000.0,TEST,1d
2024-01-15T00:00:00Z,104.5,106.0,103.5,105.0,1000.0,TEST,1d
2024-01-16T00:00:00Z,105.0,108.0,104.0,107.5,1000.0,TEST,1d
2024-01-17T00:00:00Z,107.5,112.0,106.5,111.5,1000.0,TEST,1d
2024-01-18T00:00:00Z,111.5,114.0,108.0,109.0,1000.0,TEST,1d
2024-01-19T00:00:00Z,109.0,110.0,105.0,106.0,1000.0,TEST,1d
2024-01-22T00:00:00Z,106.0,107.0,102.0,103.0,1000.0,TEST,1d
2024-01-23T00:00:00Z,103.0,104.0,98.0,99.0,1000.0,TEST,1d
2024-01-24T00:00:00Z,99.0,100.0,95.0,96.0,1000.0,TEST,1d
2024-01-25T00:00:00Z,96.0,97.0,92.0,93.0,1000.0,TEST,1d
2024-01-26T00:00:00Z,93.0,94.0,89.0,90.0,1000.0,TEST,1d
