param,all_median,all_min,all_max,top25_median,top25_min,top25_max,corr_with_sharpe
atr_period,,,,,,,0.0
multiplier,,,,,,,0.0
af_start,,,,,,,0.0
af_step,,,,,,,0.0
af_max,,,,,,,0.0
period,,,,,,,0.0
entry_pct,,,,,,,0.0
exit_pct,,,,,,,0.0
range_multiplier,,,,,,,0.0
atr_stop_mult,,,,,,,0.0
fast,,,,,,,0.0
slow,,,,,,,0.0
lookback,,,,,,,0.0
sma_period,,,,,,,0.0
ema_period,,,,,,,0.0
entry_lookback,110.0,30,395,110.0,30,395,0.011716495630679294
exit_lookback,45.0,25,50,45.0,25,50,0.05891466395802185
box_confirmation_bars,,,,,,,0.0
std_mult,,,,,,,0.0
squeeze_threshold,,,,,,,0.0
di_period,,,,,,,0.0
adx_period,,,,,,,0.0
adx_threshold,,,,,,,0.0
