param,all_median,all_min,all_max,top25_median,top25_min,top25_max,corr_with_sharpe
atr_period,20.0,8.0,48.0,20.0,8.0,48.0,-0.024679484910446536
multiplier,2.0,2.0,2.0,2.0,2.0,2.0,NaN
af_start,,,,,,,0.0
af_step,,,,,,,0.0
af_max,,,,,,,0.0
period,,,,,,,0.0
entry_pct,,,,,,,0.0
exit_pct,,,,,,,0.0
range_multiplier,,,,,,,0.0
atr_stop_mult,,,,,,,0.0
fast,,,,,,,0.0
slow,,,,,,,0.0
lookback,,,,,,,0.0
sma_period,23.0,6.0,28.0,23.0,6.0,28.0,0.034968789420156327
ema_period,,,,,,,0.0
entry_lookback,,,,,,,0.0
exit_lookback,,,,,,,0.0
box_confirmation_bars,,,,,,,0.0
std_mult,,,,,,,0.0
squeeze_threshold,,,,,,,0.0
di_period,,,,,,,0.0
adx_period,,,,,,,0.0
adx_threshold,,,,,,,0.0
