sector,count,median_cagr,median_sharpe,std_sharpe,avg_max_dd
real_estate,66,0.0025415067634542154,0.2463004385100667,0.11935534749574271,0.07619278364415105
industrials,454,0.003539503012344958,0.22958784435183077,0.10651540082853306,0.09117511294624153
financial,185,0.002673279956940444,0.22619527548333634,0.11248868531970249,0.07199515303163494
consumer_defensive,393,0.0009757772233074391,0.19770376839460185,0.11846575878065345,0.032714145088409446
utilities,388,0.0009505380100960359,0.18527629429173628,0.11264804960378265,0.030427553457354407
technology,213,0.003011079783935333,0.18513586801501128,0.11745029576647788,0.07687390943110835
healthcare,317,0.001477213358359597,0.18453182513268332,0.12435588926202944,0.07763451002063447
consumer_cyclical,137,0.0021496294649860914,0.180240540491693,0.09740479290721062,0.053385734667683926
basic_materials,256,0.0013676824631040363,0.14634495200320136,0.10062942639066116,0.0760549795486557
comms_services,66,0.0006418579231581845,0.12945418920862364,0.07936772003478192,0.050976612342217356
energy,137,0.00051672079796794,0.09164407024989034,0.09874004779441316,0.04355734087566164
