strategy_type,count,median_cagr,mean_cagr,median_sharpe,mean_sharpe,std_sharpe,median_sortino,avg_max_dd,median_calmar,avg_trades,avg_win_rate
ParabolicSar,34,0.0025466956764369497,0.003150394002132246,0.27944668729927213,0.27075431882826445,0.07366988610396046,0.395177871554227,0.056154187934815344,0.06329031657562253,3.3823529411764706,0.9031162464985995
Supertrend,330,0.002521563414113026,0.003393949422027994,0.2640202184152326,0.26080908428993893,0.08157423470890483,0.37180905514773926,0.06156444698762233,0.05994659982995329,0.3939393939393939,0.08096446925394293
FiftyTwoWeekHigh,330,0.0024435863469255414,0.003309477848839808,0.25904234325081676,0.2542594435152157,0.08549151811432024,0.3672031481150395,0.061702281317138924,0.05946021772782903,1.3515151515151516,0.44582172729231556
LarryWilliams,74,0.002343040032283583,0.0030632197541681496,0.2380797326470934,0.23734461956779823,0.0860979032524483,0.33346665221499977,0.06524517838765652,0.04865672579748781,60.71621621621622,0.5607346937528537
MACrossover,330,0.0018387483463661036,0.0023939068033684203,0.2135435704098999,0.2081813795063048,0.09208288627470351,0.294142563635613,0.05507312221201797,0.04297280963665644,15.83939393939394,0.5907082512143678
STARC,330,0.0015140677407304848,0.0022375765661167618,0.18681877498586796,0.19147853750055427,0.0918303294195476,0.26093283105558596,0.05718839634911735,0.036515853767607395,29.387878787878787,0.5496370697105528
Tsmom,370,0.0014327705060293017,0.002097766053270266,0.17470671184234507,0.16884954496493515,0.10086686389617906,0.24274252126116902,0.0651651657010727,0.031092972878113394,100.44864864864864,0.33545256982981175
Ensemble,74,0.0005570698131125429,0.0011951578409645106,0.09743256560737448,0.10152474019222865,0.12393402674865342,0.1323686256110077,0.05807522690189061,0.015675589270605347,46.391891891891895,0.4863779992310588
Aroon,370,0.000529052187918877,0.0012902025688901289,0.09503446253371853,0.11225713279967243,0.1109271709645938,0.13089633168322432,0.06428710241280598,0.015680328471864246,130.85405405405405,0.4729847888590895
Donchian,370,0.00040158478038954115,0.0010331870221458293,0.07608554466617146,0.08817055723913604,0.11582512063804813,0.10467429743599367,0.06715481063490562,0.010139266706120028,87.08378378378379,0.4754730123696011
