strategy_type,sector,count,median_cagr,median_sharpe,std_sharpe
Supertrend,real_estate,8,0.004403855864227646,0.32402579472910786,0.08091312496953215
ParabolicSar,utilities,5,0.0017337464642828149,0.3141564646274593,0.07105246604742634
FiftyTwoWeekHigh,real_estate,8,0.004258138094979325,0.30620186144483935,0.07084335244079966
MACrossover,real_estate,8,0.0033354519118570236,0.29774892270583664,0.041724911634106764
Supertrend,industrials,57,0.0054856721895233385,0.2972167711201353,0.06652606293862078
ParabolicSar,industrials,5,0.004527580243507412,0.2966812659042827,0.042010320311910695
FiftyTwoWeekHigh,industrials,57,0.005198603459706019,0.2913312714859706,0.06936502485912985
Supertrend,utilities,49,0.0016751484097032865,0.2889633662739535,0.0514708054855985
FiftyTwoWeekHigh,utilities,49,0.001673799509939844,0.2878482181787977,0.052006415030691956
ParabolicSar,consumer_defensive,6,0.0015568410918926912,0.2866275878015969,0.03296613849884478
Supertrend,consumer_cyclical,17,0.004724258246860513,0.2832042891712792,0.11083563983802018
LarryWilliams,industrials,13,0.005386262527588004,0.2804317243877322,0.06632976567477665
Supertrend,financial,24,0.002289078179907311,0.27638303751399207,0.1187328905022637
STARC,real_estate,8,0.0032985788647728054,0.27513058398893975,0.10787060956766462
LarryWilliams,utilities,11,0.0016160400036038247,0.2739879668349771,0.051619953040966365
MACrossover,financial,24,0.004385184104844342,0.2712701062295892,0.08327986343784212
FiftyTwoWeekHigh,financial,24,0.0027528433211356784,0.2687511445282163,0.11671838030898074
Supertrend,consumer_defensive,50,0.0015461056826764352,0.26747886130896503,0.0636126404622732
FiftyTwoWeekHigh,consumer_defensive,50,0.0014679423094783317,0.2673788395764593,0.06946917540608441
Supertrend,healthcare,40,0.00257745746295035,0.2639897526699531,0.08981102613228173
FiftyTwoWeekHigh,healthcare,40,0.0025763605798079237,0.2638970903223181,0.0903275465222049
Supertrend,technology,27,0.005006212662651777,0.260229562424765,0.08782121516981799
FiftyTwoWeekHigh,consumer_cyclical,17,0.004339222978181789,0.25863963038541277,0.11899432691855673
LarryWilliams,financial,5,0.001682924423122456,0.2456736059013935,0.13053622136777568
STARC,financial,24,0.003807437013176429,0.2454275933578836,0.09462595757715726
FiftyTwoWeekHigh,technology,27,0.004729429254574535,0.24445447896888803,0.09410390649520885
STARC,industrials,57,0.004435150073918148,0.23981585167817462,0.09208420391725969
Supertrend,energy,17,0.0024651069981007634,0.23719774479909198,0.07582494987162626
LarryWilliams,consumer_defensive,11,0.0012202745323879327,0.23357718972297406,0.08551251847736045
Tsmom,financial,25,0.003937625344155871,0.23318610865644915,0.0814738729769808
MACrossover,consumer_defensive,50,0.0010301296756669576,0.2320382205609842,0.0956118219863208
LarryWilliams,technology,6,0.004364699151623852,0.22287464317629468,0.07659258669869581
MACrossover,healthcare,40,0.0017329603533451365,0.22241246055409097,0.08923275481763564
Ensemble,financial,5,0.002957470727525946,0.2197134567783707,0.0877703220470274
MACrossover,utilities,49,0.0012905049347666786,0.2148462141233759,0.06426465596199832
MACrossover,industrials,57,0.003434114711217573,0.2147233653112499,0.09057063638281077
