strategy_type,config_str,num_symbols,top_half_count,top_quarter_count,top_10pct_count,avg_sharpe,top_half_pct,top_quarter_pct
Supertrend,atr_period=4_multiplier=3.0,222,216,193,98,0.28489352082199715,0.972972972972973,0.8693693693693694
Supertrend,atr_period=3_multiplier=3.0,222,216,193,100,0.28507742385320306,0.972972972972973,0.8693693693693694
LarryWilliams,atr_stop_mult=1.5_range_multiplier=2.0,222,216,179,57,0.28222001142541614,0.972972972972973,0.8063063063063063
Supertrend,atr_period=27_multiplier=3.0,222,215,189,100,0.28472474141399806,0.9684684684684685,0.8513513513513513
Supertrend,atr_period=26_multiplier=3.0,222,215,191,80,0.28473439910115156,0.9684684684684685,0.8603603603603603
FiftyTwoWeekHigh,entry_pct=0.95_exit_pct=0.8_period=60,222,215,185,63,0.28333039624156015,0.9684684684684685,0.8333333333333334
FiftyTwoWeekHigh,entry_pct=0.95_exit_pct=0.8_period=205,222,214,167,25,0.27547934475800745,0.963963963963964,0.7522522522522522
ParabolicSar,af_max=0.2_af_start=0.02_af_step=0.02,222,214,187,83,0.2846867733301441,0.963963963963964,0.8423423423423423
Supertrend,atr_period=49_multiplier=3.0,222,213,191,94,0.2851515885521916,0.9594594594594594,0.8603603603603603
FiftyTwoWeekHigh,entry_pct=0.95_exit_pct=0.8_period=455,222,212,150,18,0.2724335839379659,0.954954954954955,0.6756756756756757
FiftyTwoWeekHigh,entry_pct=0.95_exit_pct=0.8_period=145,222,210,160,21,0.27349350035348957,0.9459459459459459,0.7207207207207207
FiftyTwoWeekHigh,entry_pct=0.95_exit_pct=0.8_period=415,222,203,152,14,0.26448465875117755,0.9144144144144144,0.6846846846846847
MACrossover,fast=225_ma_type=SMA_slow=155,222,189,77,31,0.22711515855812478,0.8513513513513513,0.34684684684684686
MACrossover,fast=620_ma_type=SMA_slow=97,222,188,79,21,0.22725076092116311,0.8468468468468469,0.35585585585585583
MACrossover,fast=535_ma_type=SMA_slow=94,222,186,79,27,0.2264237813568369,0.8378378378378378,0.35585585585585583
MACrossover,fast=835_ma_type=SMA_slow=55,222,185,86,20,0.22561150304928942,0.8333333333333334,0.38738738738738737
MACrossover,fast=925_ma_type=SMA_slow=96,222,182,89,17,0.22720757247836995,0.8198198198198198,0.4009009009009009
Tsmom,lookback=640,222,167,44,8,0.19875785921468267,0.7522522522522522,0.1981981981981982
Tsmom,lookback=725,222,163,50,14,0.20150849963746623,0.7342342342342343,0.22522522522522523
STARC,atr_period=8_multiplier=2.0_sma_period=21,222,160,46,24,0.17716195118333036,0.7207207207207207,0.2072072072072072
Tsmom,lookback=495,222,158,32,9,0.18619961657534162,0.7117117117117117,0.14414414414414414
Tsmom,lookback=350,222,153,41,10,0.18578039030791824,0.6891891891891891,0.18468468468468469
Aroon,period=115,222,148,47,26,0.1708320693475146,0.6666666666666666,0.21171171171171171
STARC,atr_period=20_multiplier=2.0_sma_period=23,222,144,41,25,0.16830673515956085,0.6486486486486487,0.18468468468468469
Tsmom,lookback=620,222,143,33,8,0.18616704528644798,0.6441441441441441,0.14864864864864866
STARC,atr_period=31_multiplier=2.0_sma_period=28,222,137,42,23,0.1651551086081285,0.6171171171171171,0.1891891891891892
STARC,atr_period=48_multiplier=2.0_sma_period=27,222,135,42,25,0.15874643763365878,0.6081081081081081,0.1891891891891892
